VT24047.1	1	0	0	0
VT26702.1	1	0	0	0
VT28544.1	1	0	0	0
VT29052.1	1	0	0	0
VT29757.1	1	0	0	0
VT29757.2	1	0	0	0
VT30548.1	1	0	0	0
VT30548.2	1	0	0	0
VT31552.1	1	0	0	0
VT32275.1	1	0	0	0
VT32275.2	1	0	0	0
VT33002.1	1	0	0	0
VT33002.2	1	0	0	0
VT33002.3	1	0	0	0
VT36575.1	1	0	0	0
VT36575.2	1	0	0	0
VT37508.1	1	0	0	0
VT37540.1	1	0	0	0
VT37540.2	1	0	0	0
VT37560.1	1	0	0	0
VT37560.2	1	0	0	0
VT39513.1	1	0	0	0
VT39513.2	1	0	0	0
VT39513.3	1	0	0	0
VT40612.1	1	0	0	0
VT41032.1	1	0	0	0
VT41281.1	1	0	0	0
VT41281.2	1	0	0	0
VT41298.1	1	0	0	0
VT41710.1	1	0	0	0
VT42167.1	1	0	0	0
VT42167.2	1	0	0	0
VT42568.1	1	0	0	0
VT42568.2	1	0	0	0
VT43688.1	1	0	0	0
VT44117.1	1	0	0	0
VT44117.2	1	0	0	0
VT44369.1	1	0	0	0
VT44369.2	1	0	0	0
VT45197.1	1	0	0	0
VT45197.2	1	0	0	0
VT45608.1	1	0	0	0
VT47167.1	1	0	0	0
VT47172.1	1	0	0	0
VT47173.1	1	0	0	0
VT47324.1	1	0	0	0
VT47324.2	1	0	0	0
VT47325.1	1	0	0	0
VT47325.2	1	0	0	0
VT50105.1	1	0	0	0
VT50378.1	1	0	0	0
VT50378.2	1	0	0	0
VT54844.1	1	0	0	0
VT54844.2	1	0	0	0
VT54844.3	1	0	0	0
VT54845.1	1	0	0	0
VT54845.2	1	0	0	0
VT56651.1	1	0	0	0
VT56651.2	1	0	0	0
VT57358.1	1	0	0	0
VT57358.2	1	0	0	0
VT58911.1	1	0	0	0
VT59447.1	1	0	0	0
VT59696.1	1	0	0	0
VT62473.1	1	0	0	0
VT62633.1	1	0	0	0
VT63713.1	1	0	0	0
VT64496.1	1	0	0	0
VT40419.1	1	0	0	0
VT40419.2	1	0	0	0
VT40419.3	1	0	0	0
VT42327.1	1	0	0	0
VT64886.1	1	0	0	0
VT64886.2	1	0	0	0
VT8286.1	1	0	0	0
VT14561.1	1	0	0	0
VT19021.1	1	0	0	0
VT19075.1	1	0	0	0
VT24614.1	1	0	0	0
VT25019.1	1	0	0	0
VT26012.1	1	0	0	0
VT26016.1	1	0	0	0
VT26019.1	1	0	0	0
VT32110.1	1	0	0	0
VT32412.1	1	0	0	0
VT38866.1	1	0	0	0
VT38868.1	1	0	0	0
VT40979.1	1	0	0	0
VT45642.1	1	0	0	0
VT48645.1	1	0	0	0
VT50313.1	1	0	0	0
VT56121.1	1	0	0	0
VT61534.1	1	0	0	0
drl_drlZ	0	1	0	0
Act79B_lacZ	0	1	0	0
ko_15N/Sp-lacZ	0	1	0	0
kirre_-1.0	0	1	0	0
Kr_CD1_NR	0	1	0	0
Kr_H/J	0	1	0	0
If	0	1	0	0
betaTub60D_pw/beta3/lac-1423	0	1	0	0
Scr_8.2XX	0	1	0	0
dap_dap-5-2R	0	1	0	0
dve_57	0	1	0	0
Mef2_III-F	0	1	0	0
slou_SK16	0	1	0	0
org-1_HN39	0	1	0	0
CG4364_upstreamCRM	0	1	0	0
kirre_-4.6-3.8	0	1	0	0
Scr_BSR	0	1	0	0
Scr_3.7HH	0	1	0	0
Mhc_F2-479	0	1	0	0
Mhc_F2-491	0	1	0	0
Mhc_F3-522	0	1	0	0
fra	0	1	0	0
14-3-3zeta_upstream	0	1	0	0
pb_13.0+HZR	0	1	0	0
CHES-1-like_upstreamCRM	0	1	0	0
jhamt_cooc102	0	1	0	0
nrv1_5_flank	0	1	0	0
Mhc_F3-580	0	1	0	0
Pdp1_1st_intron_enhancer	0	1	0	0
Unspecified_965	0	1	0	0
kn_knMel1599-1991	0	1	0	0
Unspecified_4725	0	1	0	0
VT3067.1	0	1	0	0
VT3067.2	0	1	0	0
VT3067.3	0	1	0	0
VT23808.1	0	1	0	0
VT31567.1	0	1	0	0
VT31567.2	0	1	0	0
VT31567.3	0	1	0	0
VT39511.1	0	1	0	0
VT39511.2	0	1	0	0
VT39543.1	0	1	0	0
VT39543.2	0	1	0	0
VT39543.3	0	1	0	0
VT42009.1	0	1	0	0
VT48458.1	0	1	0	0
VT48458.2	0	1	0	0
VT63560.1	0	1	0	0
hand_1	0	0	1	0
VT17421.1	0	0	1	0
VT17421.2	0	0	1	0
VT62607.1	0	0	1	0
Ubx_4CRE	0	0	1	0
Ubx_B	0	0	1	0
dap_dap-B	0	0	1	0
dpp_dpp419_NR	0	0	1	0
CG14687_downtreamCRM	0	0	1	0
Scr_5.4BB	0	0	1	0
Unspecified_160	0	0	1	0
CG10641_intronicCRM	0	0	1	0
Vrp1_intronicCRM	0	0	1	0
Con_1kb_3prime	0	0	1	0
Scr_0.8XH	0	0	1	0
CG9663_intronicCRM	0	0	1	0
ken	0	0	1	0
hh-PR	0	0	1	0
dac	0	0	1	0
bap_FHVME	0	0	1	0
Unspecified_4906	0	0	1	0
HLH54F	0	0	1	0
fd64a_eVME	0	0	1	0
dpp_P1delta2	0	0	1	0
Nrt_8563	0	0	1	0
dpp_265lacZ	0	0	1	0
dpp_674lacZ	0	0	1	0
nkd_IntE_869	0	0	1	0
jing_91	0	0	1	0
Unspecified_2347	0	0	1	0
mthl1_10845	0	0	1	0
Unspecified_5570	0	0	1	0
Unspecified_6028	0	0	1	0
wg_XB	0	0	1	0
Unspecified_2819	0	0	1	0
rst_9540	0	0	1	0
CadN_6512	0	0	1	0
otp_C	0	0	1	0
otp_bynHindgutModule	0	0	1	0
otp_P	0	0	1	0
zeta-COP_zetaCOP_prom	0	0	1	0
Unspecified_3418	0	0	1	0
VT0132.1	0	0	1	0
VT1488.1	0	0	1	0
VT1488.2	0	0	1	0
VT1488.3	0	0	1	0
VT7077.1	0	0	1	0
VT8444.1	0	0	1	0
VT8491.1	0	0	1	0
VT12244.1	0	0	1	0
VT12786.1	0	0	1	0
VT14919.1	0	0	1	0
VT16117.1	0	0	1	0
VT16117.2	0	0	1	0
VT16460.1	0	0	1	0
VT16460.2	0	0	1	0
VT17126.1	0	0	1	0
VT21795.1	0	0	1	0
VT21795.2	0	0	1	0
VT25340.1	0	0	1	0
VT25340.2	0	0	1	0
VT26832.1	0	0	1	0
VT26925.1	0	0	1	0
VT26925.2	0	0	1	0
VT29813.1	0	0	1	0
VT29813.2	0	0	1	0
VT29814.1	0	0	1	0
VT33905.1	0	0	1	0
VT36776.1	0	0	1	0
VT36776.2	0	0	1	0
VT38221.1	0	0	1	0
VT38780.1	0	0	1	0
VT38780.2	0	0	1	0
VT38780.3	0	0	1	0
VT40156.1	0	0	1	0
VT40156.2	0	0	1	0
VT41035.1	0	0	1	0
VT41037.1	0	0	1	0
VT41037.2	0	0	1	0
VT41276.1	0	0	1	0
VT41707.1	0	0	1	0
VT41707.2	0	0	1	0
VT42844.1	0	0	1	0
VT45583.1	0	0	1	0
VT45584.1	0	0	1	0
VT45600.1	0	0	1	0
VT45600.2	0	0	1	0
VT46053.1	0	0	1	0
VT46196.1	0	0	1	0
VT46196.2	0	0	1	0
VT46206.1	0	0	1	0
VT46206.2	0	0	1	0
VT50121.1	0	0	1	0
VT50121.2	0	0	1	0
VT50121.3	0	0	1	0
VT54835.1	0	0	1	0
VT58346.1	0	0	1	0
VT62915.1	0	0	1	0
VT4321.1	0	0	1	0
VT4321.2	0	0	1	0
VT21840.1	0	0	1	0
VT32332.1	0	0	1	0
VT42834.1	0	0	1	0
VT42839.1	0	0	1	0
VT45200.1	0	0	1	0
VT46209.1	0	0	1	0
VT46209.2	0	0	1	0
VT61911.1	0	0	1	0
VT62606.1	0	0	1	0
VT62613.1	0	0	1	0
VT62613.2	0	0	1	0
VT0349.1	0	0	1	0
VT0445.1	0	0	1	0
VT8823.1	0	0	1	0
VT13595.1	0	0	1	0
VT14608.1	0	0	1	0
VT17240.1	0	0	1	0
VT19340.1	0	0	1	0
VT42767.1	0	0	1	0
VT46213.1	0	0	1	0
VT48877.1	0	0	1	0
VT50247.1	0	0	1	0
VT57276.1	0	0	1	0
VT61081.1	0	0	1	0
VT61728.1	0	0	1	0
VT63626.1	0	0	1	0
VT17416.1	0	0	1	0
VT17416.2	0	0	1	0
VT44929.1	0	0	1	0
VT15305.1	0	0	1	0
VT48643.1	0	0	1	0
Hand_HCH	0	0	0	1
Mef2_GE491	0	0	0	1
hh_4075	0	0	0	1
hh_modA	0	0	0	1
Sur_SSS	0	0	0	1
Tl_Tl305	0	0	0	1
cact_2	0	0	0	1
tin_tinC	0	0	0	1
tin_tin103B	0	0	0	1
pyr	0	0	0	1
nkd_8756	0	0	0	1
CG42342_3436	0	0	0	1
18w_1625	0	0	0	1
CG9894_5174	0	0	0	1
sna_2	0	0	0	1
VT9666.1	0	0	0	1
VT9666.2	0	0	0	1
VT14367.1	0	0	0	1
VT14367.2	0	0	0	1
VT14367.3	0	0	0	1
VT41300.1	0	0	0	1
VT41300.2	0	0	0	1
VT42372.1	0	0	0	1
VT42372.2	0	0	0	1
VT42372.3	0	0	0	1
VT42846.1	0	0	0	1
VT42846.2	0	0	0	1
betaTub60D_b3-lac333	0	0	0	1
Tg_cardiac_enhancer	0	0	0	1
sli_2.2_BR	0	0	0	1
lbl_heart	0	0	0	1
stg_b-E5.3	0	0	0	1
VT16973.1	0	0	0	1
VT16973.2	0	0	0	1
betaTub60D_pW/beta3/lac-1565	0	0	0	1
cv-2_ae6	0	0	0	1
unpg_U1	0	0	0	1
aop_D-lacZ	0	0	0	1
Mhc_F3-548	0	0	0	1
VT7297.1	0	0	0	1
VT7297.2	0	0	0	1
VT8886.1	0	0	0	1
VT8886.2	0	0	0	1
VT8887.1	0	0	0	1
VT8887.2	0	0	0	1
VT15177.1	0	0	0	1
VT16423.1	0	0	0	1
VT16423.2	0	0	0	1
VT23827.1	0	0	0	1
VT26142.1	0	0	0	1
VT26142.2	0	0	0	1
VT26829.1	0	0	0	1
VT26829.2	0	0	0	1
VT29046.1	0	0	0	1
VT38776.1	0	0	0	1
VT42874.1	0	0	0	1
VT42874.2	0	0	0	1
VT50134.1	0	0	0	1
VT50134.2	0	0	0	1
VT56658.1	0	0	0	1
VT58366.1	0	0	0	1
VT58366.2	0	0	0	1
VT58366.3	0	0	0	1
VT45201.1	0	0	0	1
VT5002.1	0	0	0	1
VT6555.1	0	0	0	1
VT26990.1	0	0	0	1
VT40039.1	0	0	0	1
VT44694.1	0	0	0	1
